"GDENR","X_KOORD","Y_KOORD","RELI","H13PTOT","H13P01","H13P02","H13P03","H13P04","H13P05","H13P06","H13PI"
31,693600,268700,69362687,1,1,0,0,0,0,0,1
58,680000,268000,68002680,2,1,1,0,0,0,0,1
61,679200,272200,67922722,1,1,0,0,0,0,0,1
91,670700,262000,67072620,1,0,1,0,0,0,0,1
94,671500,257200,67152572,2,1,0,0,1,0,0,1
114,712100,243400,71212434,2,2,0,0,0,0,0,1
120,711700,237200,71172372,1,1,0,0,0,0,0,1
121,702700,242100,70272421,1,0,1,0,0,0,0,1
137,686300,236800,68632368,1,1,0,0,0,0,0,1
139,684400,240400,68442404,1,0,0,0,0,1,0,1
158,697000,233000,69702330,1,0,0,0,1,0,0,1
191,689300,250400,68932504,1,1,0,0,0,0,0,1
196,697000,240700,69702407,2,1,1,0,0,0,0,1
220,709200,264400,70922644,1,1,0,0,0,0,0,1
230,697200,261700,69722617,3,2,0,0,1,0,0,1
242,675500,245400,67552454,1,0,0,1,0,0,0,1
244,673400,252600,67342526,1,1,0,0,0,0,0,1
245,677300,251400,67732514,3,2,1,0,0,0,0,1
261,683100,247100,68312471,1,1,0,0,0,0,0,1
303,594100,212800,59412128,1,1,0,0,0,0,0,1
305,587000,212100,58702121,1,0,1,0,0,0,0,1
331,626700,226700,62672267,1,0,0,1,0,0,0,1
337,629000,232200,62902322,2,1,1,0,0,0,0,1
351,600100,199700,60011997,40,0,16,12,9,2,1,1
352,604300,202600,60432026,1,0,1,0,0,0,0,1
355,598300,197200,59831972,15,11,2,2,0,0,0,1
356,603700,197700,60371977,2,1,1,0,0,0,0,1
358,606500,200900,60652009,1,0,0,0,1,0,0,1
363,603600,200600,60362006,2,0,0,1,1,0,0,1
371,585500,221200,58552212,6,2,3,0,1,0,0,1
372,585000,222000,58502220,1,0,0,0,0,1,0,1
412,611000,214800,61102148,1,0,0,0,0,1,0,1
419,612900,217600,61292176,1,0,1,0,0,0,0,1
424,617300,217200,61732172,1,0,1,0,0,0,0,1
446,574500,230300,57452303,1,0,0,0,0,0,1,1
533,607600,220000,60762200,2,1,1,0,0,0,0,1
546,600900,207800,60092078,1,0,1,0,0,0,0,1
561,609200,149100,60921491,1,1,0,0,0,0,0,1
616,609400,191500,60941915,1,0,0,1,0,0,0,1
623,608200,194200,60821942,1,0,1,0,0,0,0,1
627,609500,197600,60951976,7,4,1,1,1,0,0,1
670,589700,193800,58971938,1,0,1,0,0,0,0,1
722,577000,218600,57702186,1,1,0,0,0,0,0,1
731,588600,219000,58862190,1,0,1,0,0,0,0,1
786,657600,174300,65761743,1,1,0,0,0,0,0,1
793,596700,150900,59671509,1,1,0,0,0,0,0,1
883,607700,181900,60771819,1,0,1,0,0,0,0,1
907,621900,196600,62191966,1,0,1,0,0,0,0,1
930,609500,174400,60951744,1,1,0,0,0,0,0,1
944,610200,180400,61021804,2,0,2,0,0,0,0,1
954,631100,218200,63112182,1,1,0,0,0,0,0,1
957,623300,208600,62332086,1,0,1,0,0,0,0,1
981,619500,235100,61952351,8,2,6,0,0,0,0,1
1069,675700,209500,67572095,1,1,0,0,0,0,0,1
1202,688600,165400,68861654,1,1,0,0,0,0,0,1
1216,694100,182900,69411829,2,1,0,0,1,0,0,1
1311,682700,205100,68272051,2,2,0,0,0,0,0,1
1322,701400,228700,70142287,1,1,0,0,0,0,0,1
1344,707200,227700,70722277,1,1,0,0,0,0,0,1
1372,692400,208500,69242085,1,1,0,0,0,0,0,1
1701,682600,227800,68262278,3,0,1,0,2,0,0,1
1702,677400,226100,67742261,3,0,0,0,3,0,0,1
2128,576000,162500,57601625,1,0,0,1,0,0,0,1
2135,572700,159200,57271592,1,0,1,0,0,0,0,1
2160,568100,163000,56811630,1,1,0,0,0,0,0,1
2196,577900,183600,57791836,1,0,1,0,0,0,0,1
2221,567700,181700,56771817,1,0,0,0,1,0,0,1
2453,605400,221100,60542211,1,1,0,0,0,0,0,1
2499,640100,249100,64012491,1,1,0,0,0,0,0,1
2513,609100,225700,60912257,1,0,1,0,0,0,0,1
2523,614100,225600,61412256,1,0,0,0,1,0,0,1
2530,611900,223400,61192234,3,0,2,0,1,0,0,1
2535,614900,222900,61492229,1,0,0,0,1,0,0,1
2546,596700,226900,59672269,16,10,5,1,0,0,0,1
2550,605800,230100,60582301,1,1,0,0,0,0,0,1
