"GDENR","X_KOORD","Y_KOORD","RELI","B13BTOT","B13B11","B13B12","B13B13","B13B14","B13B15","B13B16","B13B21","B13B22","B13B23","B13B24","B13B25","B13B26","B13B27","B13B28","B13B29","B13B30","B13BMTOT","B13BM01","B13BM02","B13BM03","B13BM04","B13BM05","B13BM06","B13BM07","B13BM08","B13BM09","B13BM10","B13BM11","B13BM12","B13BM13","B13BM14","B13BM15","B13BM16","B13BM17","B13BM18","B13BM19","B13BWTOT","B13BW01","B13BW02","B13BW03","B13BW04","B13BW05","B13BW06","B13BW07","B13BW08","B13BW09","B13BW10","B13BW11","B13BW12","B13BW13","B13BW14","B13BW15","B13BW16","B13BW17","B13BW18","B13BW19","B13B41","B13B42","B13B43","B13B44","B13B45","B13B46","B13B51","B13B52","B13B53","B13B54","B13B55","B13B56"
1,679300,235700,67932357,9,9,0,0,0,0,0,8,1,3,4,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,4,1,0,9,0,0,0,0,0
2,676800,236800,67682368,67,43,24,8,9,7,0,48,11,20,15,2,19,6,5,8,0,39,1,1,3,6,3,2,4,1,2,4,4,4,2,1,0,1,0,0,0,28,0,3,2,2,1,3,2,1,1,2,2,0,1,3,1,0,3,1,0,0,16,13,27,7,4,66,0,0,0,0,1
3,677800,241000,67782410,8,7,1,1,0,0,0,7,1,5,1,0,1,1,0,0,0,5,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,3,1,0,8,0,0,0,0,0
4,682900,233100,68292331,23,23,0,0,0,0,0,21,2,10,9,0,2,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,19,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,3,5,4,0,2,1,16,4,0,23,0,0,0,0,0
5,676400,239000,67642390,15,14,1,1,0,0,0,14,0,9,5,0,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0,1,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,4,0,11,0,0,15,0,0,0,0,0
6,682400,231300,68242313,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0
7,677500,230900,67752309,11,11,0,0,0,0,0,10,0,5,5,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,11,0,0,11,0,0,0,0,0
8,674800,232000,67482320,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0
9,677600,233000,67762330,11,10,1,0,0,1,0,11,3,2,4,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,1,0,2,0,8,1,0,11,0,0,0,0,0
10,675100,235300,67512353,34,23,11,8,1,2,0,21,1,12,8,0,13,8,2,3,0,15,0,0,0,0,1,1,2,1,1,1,3,1,0,0,0,0,1,1,2,19,0,0,0,1,1,0,1,0,0,1,2,2,0,1,1,0,3,4,2,2,8,2,20,2,0,32,1,0,1,0,0
11,673000,237200,67302372,16,16,0,0,0,0,0,15,1,8,6,0,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,11,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,6,0,0,1,12,3,0,16,0,0,0,0,0
13,679500,242100,67952421,2,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
14,678200,243700,67822437,19,18,1,1,0,0,0,17,2,7,8,0,2,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,2,5,0,0,0,16,3,0,19,0,0,0,0,0
22,691300,278800,69132788,9,9,0,0,0,0,0,9,2,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,0,1,0,6,2,0,9,0,0,0,0,0
23,687200,269400,68722694,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,689100,267000,68912670,3,3,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0
25,688600,280000,68862800,10,10,0,0,0,0,0,9,1,5,3,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,1,0,8,1,0,10,0,0,0,0,0
27,690400,283000,69042830,16,15,1,1,0,0,0,13,0,4,9,0,3,1,0,2,0,6,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,10,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,1,1,1,0,1,1,11,3,0,16,0,0,0,0,0
28,688000,270100,68802701,5,5,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,3,1,0,0,1,0
29,689400,282000,68942820,7,7,0,0,0,0,0,7,1,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,0,0,7,0,0,0,0,0
30,693300,272200,69332722,16,14,2,0,1,1,0,14,0,8,6,0,2,0,1,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,1,1,13,1,0,16,0,0,0,0,0
31,693600,268700,69362687,11,11,0,0,0,0,0,11,1,6,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,0,1,8,1,0,10,0,1,0,0,0
32,692700,270300,69272703,3,3,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0
33,693600,272800,69362728,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0
34,689800,280600,68982806,10,10,0,0,0,0,0,9,2,3,4,0,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,8,2,0,10,0,0,0,0,0
35,690900,275700,69092757,4,4,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,4,0,0,0,0,0
36,702400,276500,70242765,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,696800,274200,69682742,12,11,1,0,0,1,0,11,1,8,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,4,1,5,2,0,12,0,0,0,0,0
38,687700,277700,68772777,20,17,3,3,0,0,0,16,2,6,8,0,4,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,1,3,3,4,0,5,2,10,3,0,20,0,0,0,0,0
39,699000,270600,69902706,5,5,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,2,0,5,0,0,0,0,0
40,694300,277100,69432771,3,3,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0
41,696800,276200,69682762,3,3,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0
42,701600,277400,70162774,7,7,0,0,0,0,0,6,1,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,0,5,1,0,7,0,0,0,0,0
43,689300,270000,68932700,2,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0
44,700800,275500,70082755,5,5,0,0,0,0,0,4,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,1,0,5,0,0,0,0,0
51,683600,262000,68362620,24,17,7,3,3,1,0,17,2,7,8,0,7,5,1,1,0,10,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,1,2,14,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,3,2,1,3,0,2,1,19,2,0,24,0,0,0,0,0
52,689800,255500,68982555,23,18,5,5,0,0,0,17,0,9,8,0,6,6,0,0,0,11,0,0,0,0,0,0,2,2,3,2,0,0,1,0,0,1,0,0,0,12,0,0,0,0,0,1,0,2,0,0,2,0,0,1,2,0,0,1,3,2,1,2,14,4,0,21,0,0,2,0,0
53,683000,263700,68302637,110,96,14,10,2,2,0,92,28,41,23,0,18,12,1,4,1,51,0,1,0,3,2,2,3,3,5,4,6,3,4,5,1,3,1,1,4,59,1,0,1,2,1,1,0,1,1,5,5,5,1,2,4,4,3,11,11,3,9,13,72,13,0,107,2,0,1,0,0
54,689000,253400,68902534,17,15,2,2,0,0,0,13,1,7,5,0,4,4,0,0,0,14,0,0,0,0,2,2,0,0,1,1,0,5,1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,2,7,3,0,15,2,0,0,0,0
